schedule_type;chunk_size;iterations;avail_threads;mop_s_thread;time
static;1;10;8;         293.57;        8.14
static;1000;10;8;         291.55;        8.19
static;1500;10;8;         286.98;        8.33
static;2000;10;8;         248.58;        9.61
static;2500;10;8;         260.75;        9.16
static;3000;10;8;         273.58;        8.73
static;3500;10;8;         278.04;        8.59
static;4000;10;8;         271.50;        8.80
static;4500;10;8;         279.21;        8.56
static;5000;10;8;         275.08;        8.69
static;5500;10;8;         253.10;        9.44
static;6000;10;8;         276.76;        8.63
static;6500;10;8;         261.46;        9.14
static;7000;10;8;         258.12;        9.26
static;7500;10;8;         242.89;        9.84
static;8000;10;8;         260.07;        9.19
static;8500;10;8;         257.23;        9.29
static;9000;10;8;         266.88;        8.95
static;9500;10;8;         278.44;        8.58
static;10000;10;8;         276.75;        8.63
static;10500;10;8;         272.76;        8.76
static;11000;10;8;         258.42;        9.25
static;11500;10;8;         268.24;        8.91
static;12000;10;8;         279.88;        8.54
static;12500;10;8;         277.31;        8.62
static;13000;10;8;         283.85;        8.42
static;13500;10;8;         261.51;        9.14
static;14000;10;8;         242.01;        9.87
static;14500;10;8;         265.29;        9.01
static;15000;10;8;         255.20;        9.36
static;15500;10;8;         256.64;        9.31
static;16000;10;8;         281.64;        8.48
static;16500;10;8;         283.25;        8.43
static;17000;10;8;         283.55;        8.43
static;17500;10;8;         280.36;        8.52
static;18000;10;8;         281.84;        8.48
static;18500;10;8;         279.37;        8.55
static;19000;10;8;         281.53;        8.49
static;19500;10;8;         269.91;        8.85
static;20000;10;8;         264.16;        9.04
static;20500;10;8;         248.72;        9.61
static;21000;10;8;         269.26;        8.87
static;21500;10;8;         281.04;        8.50
static;22000;10;8;         281.28;        8.49
static;22500;10;8;         283.40;        8.43
static;23000;10;8;         253.41;        9.43
static;23500;10;8;         262.09;        9.12
static;24000;10;8;         274.55;        8.70
static;24500;10;8;         253.61;        9.42
static;25000;10;8;         269.50;        8.86
static;25500;10;8;         262.13;        9.11
static;26000;10;8;         249.15;        9.59
static;26500;10;8;         244.23;        9.78
static;27000;10;8;         269.43;        8.87
static;27500;10;8;         248.32;        9.62
static;28000;10;8;         257.71;        9.27
static;28500;10;8;         265.74;        8.99
static;29000;10;8;         270.42;        8.83
static;29500;10;8;         271.09;        8.81
static;30000;10;8;         274.64;        8.70
dynamic;1;10;8;         265.93;        8.98
dynamic;1000;10;8;         269.85;        8.85
dynamic;1500;10;8;         270.89;        8.82
dynamic;2000;10;8;         273.90;        8.72
dynamic;2500;10;8;         256.16;        9.33
dynamic;3000;10;8;         243.21;        9.82
dynamic;3500;10;8;         243.76;        9.80
dynamic;4000;10;8;         253.95;        9.41
dynamic;4500;10;8;         264.32;        9.04
dynamic;5000;10;8;         258.63;        9.24
dynamic;5500;10;8;         264.12;        9.05
dynamic;6000;10;8;         262.70;        9.09
dynamic;6500;10;8;         262.84;        9.09
dynamic;7000;10;8;         250.51;        9.54
dynamic;7500;10;8;         258.57;        9.24
dynamic;8000;10;8;         243.12;        9.83
dynamic;8500;10;8;         261.11;        9.15
dynamic;9000;10;8;         249.62;        9.57
dynamic;9500;10;8;         264.42;        9.04
dynamic;10000;10;8;         264.99;        9.02
dynamic;10500;10;8;         262.97;        9.09
dynamic;11000;10;8;         266.54;        8.96
dynamic;11500;10;8;         263.97;        9.05
dynamic;12000;10;8;         264.06;        9.05
dynamic;12500;10;8;         267.96;        8.92
dynamic;13000;10;8;         274.61;        8.70
dynamic;13500;10;8;         265.87;        8.99
dynamic;14000;10;8;         272.48;        8.77
dynamic;14500;10;8;         269.59;        8.86
dynamic;15000;10;8;         261.02;        9.15
dynamic;15500;10;8;         260.05;        9.19
dynamic;16000;10;8;         275.57;        8.67
dynamic;16500;10;8;         270.95;        8.82
dynamic;17000;10;8;         266.58;        8.96
dynamic;17500;10;8;         274.99;        8.69
dynamic;18000;10;8;         266.57;        8.96
dynamic;18500;10;8;         270.18;        8.84
dynamic;19000;10;8;         279.64;        8.54
dynamic;19500;10;8;         278.09;        8.59
dynamic;20000;10;8;         269.64;        8.86
dynamic;20500;10;8;         266.34;        8.97
dynamic;21000;10;8;         262.83;        9.09
dynamic;21500;10;8;         259.33;        9.21
dynamic;22000;10;8;         264.49;        9.03
dynamic;22500;10;8;         262.36;        9.11
dynamic;23000;10;8;         251.61;        9.50
dynamic;23500;10;8;         264.76;        9.02
dynamic;24000;10;8;         263.14;        9.08
dynamic;24500;10;8;         278.80;        8.57
dynamic;25000;10;8;         277.69;        8.60
dynamic;25500;10;8;         248.80;        9.60
dynamic;26000;10;8;         264.35;        9.04
dynamic;26500;10;8;         265.11;        9.01
dynamic;27000;10;8;         256.27;        9.32
dynamic;27500;10;8;         261.49;        9.14
dynamic;28000;10;8;         252.59;        9.46
dynamic;28500;10;8;         273.61;        8.73
dynamic;29000;10;8;         259.30;        9.21
dynamic;29500;10;8;         256.32;        9.32
dynamic;30000;10;8;         267.62;        8.93
guided;1;10;8;         264.18;        9.04
guided;1000;10;8;         286.76;        8.33
guided;1500;10;8;         278.03;        8.59
guided;2000;10;8;         266.45;        8.97
guided;2500;10;8;         278.33;        8.58
guided;3000;10;8;         279.10;        8.56
guided;3500;10;8;         281.48;        8.49
guided;4000;10;8;         285.15;        8.38
guided;4500;10;8;         283.54;        8.43
guided;5000;10;8;         279.55;        8.55
guided;5500;10;8;         276.98;        8.63
guided;6000;10;8;         280.86;        8.51
guided;6500;10;8;         272.10;        8.78
guided;7000;10;8;         276.45;        8.64
guided;7500;10;8;         280.41;        8.52
guided;8000;10;8;         278.94;        8.57
guided;8500;10;8;         280.14;        8.53
guided;9000;10;8;         280.48;        8.52
guided;9500;10;8;         281.47;        8.49
guided;10000;10;8;         263.10;        9.08
guided;10500;10;8;         267.21;        8.94
guided;11000;10;8;         269.38;        8.87
guided;11500;10;8;         259.90;        9.19
guided;12000;10;8;         240.00;        9.95
guided;12500;10;8;         260.47;        9.17
guided;13000;10;8;         280.11;        8.53
guided;13500;10;8;         277.14;        8.62
guided;14000;10;8;         275.34;        8.68
guided;14500;10;8;         269.45;        8.87
guided;15000;10;8;         255.20;        9.36
guided;15500;10;8;         273.82;        8.73
guided;16000;10;8;         275.41;        8.67
guided;16500;10;8;         260.32;        9.18
guided;17000;10;8;         251.64;        9.49
guided;17500;10;8;         265.17;        9.01
guided;18000;10;8;         256.63;        9.31
guided;18500;10;8;         261.37;        9.14
guided;19000;10;8;         270.31;        8.84
guided;19500;10;8;         260.34;        9.18
guided;20000;10;8;         252.07;        9.48
guided;20500;10;8;         276.27;        8.65
guided;21000;10;8;         252.55;        9.46
guided;21500;10;8;         260.16;        9.18
guided;22000;10;8;         255.14;        9.36
guided;22500;10;8;         266.75;        8.96
guided;23000;10;8;         272.77;        8.76
guided;23500;10;8;         288.48;        8.28
guided;24000;10;8;         283.03;        8.44
guided;24500;10;8;         287.86;        8.30
guided;25000;10;8;         285.21;        8.38
guided;25500;10;8;         280.11;        8.53
guided;26000;10;8;         282.93;        8.44
guided;26500;10;8;         264.09;        9.05
guided;27000;10;8;         270.00;        8.85
guided;27500;10;8;         265.84;        8.99
guided;28000;10;8;         274.77;        8.69
guided;28500;10;8;         257.60;        9.27
guided;29000;10;8;         264.61;        9.03
guided;29500;10;8;         261.98;        9.12
guided;30000;10;8;         261.98;        9.12
